106,12,Rowing,Rowing Men's Double Sculls,Gold
106,11,Rowing,Rowing Men's Quadruple Sculls,Gold
107,24,Rowing,Rowing Men's Coxed Pairs,Gold
107,4,Rowing,Rowing Men's Coxed Pairs,Gold
107,5,Rowing,Rowing Men's Coxed Pairs,Silver
107,12,Rowing,Rowing Men's Coxed Eights,
108,10,Rowing,Rowing Men's Coxed Pairs,
108,24,Rowing,Rowing Men's Coxed Pairs,Gold
108,4,Rowing,Rowing Men's Coxed Pairs,Gold
108,5,Rowing,Rowing Men's Coxed Pairs,Silver
109,30,Athletics,Athletics Men's 400 metres Hurdles,
109,30,Athletics,Athletics Men's 4 x 100 metres Relay,
109,10,Athletics,Athletics Men's 400 metres Hurdles,
110,20,Athletics,Athletics Men's 400 metres,
111,12,Athletics,Athletics Men's Hammer Throw,
112,23,Weightlifting,Weightlifting Men's Lightweight,
113,21,Football,Football Men's Football,
114,10,Athletics,Athletics Men's Long Jump,
115,5,Athletics,Athletics Men's 400 metres Hurdles,
116,22,Weightlifting,Weightlifting Men's Featherweight,
116,23,Weightlifting,Weightlifting Men's Featherweight,
117,4,Athletics,Athletics Men's 400 metres,
117,4,Athletics,Athletics Men's 800 metres,
118,11,Cycling,"Cycling Men's Road Race, Individual",
119,9,Diving,Diving Men's Platform,
120,21,Swimming,Swimming Men's 100 metres Freestyle,
121,31,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
122,21,Weightlifting,Weightlifting Men's Middleweight,
123,11,Hockey,Hockey Men's Hockey,
123,21,Hockey,Hockey Men's Hockey,
123,1,Hockey,Hockey Men's Hockey,
124,9,Basketball,Basketball Men's Basketball,
125,24,Hockey,Hockey Men's Hockey,
126,15,Alpine Skiing,Alpine Skiing Women's Slalom,
127,21,Hockey,Hockey Men's Hockey,
127,19,Hockey,Hockey Men's Hockey,
127,1,Hockey,Hockey Men's Hockey,
128,1,Rowing,Rowing Women's Single Sculls,
129,19,Athletics,Athletics Men's 100 metres,
130,19,Swimming,Swimming Men's 50 metres Freestyle,
131,11,Weightlifting,Weightlifting Women's Featherweight,
132,1,Water Polo,Water Polo Women's Water Polo,
133,3,Gymnastics,Gymnastics Men's Individual All-Around,
134,11,Football,Football Men's Football,
135,20,Handball,Handball Women's Handball,
136,11,Basketball,Basketball Men's Basketball,
137,23,Figure Skating,Figure Skating Men's Singles,
137,25,Figure Skating,Figure Skating Men's Singles,
138,20,Weightlifting,Weightlifting Men's Heavyweight,
139,32,Football,Football Men's Football,Bronze
140,12,Sailing,Sailing Mixed Three Person Keelboat,
140,11,Sailing,Sailing Mixed Three Person Keelboat,
141,20,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
141,20,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
142,29,Athletics,"Athletics Men's 5,000 metres",
143,19,Hockey,Hockey Men's Hockey,Bronze
144,19,Hockey,Hockey Men's Hockey,
145,31,Figure Skating,Figure Skating Men's Singles,
145,15,Figure Skating,Figure Skating Men's Singles,
145,15,Figure Skating,Figure Skating Mixed Team,Bronze
146,30,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",
147,12,Sailing,Sailing Mixed Three Person Keelboat,
148,19,Sailing,Sailing Women's Three Person Keelboat,
149,20,Cycling,"Cycling Women's Road Race, Individual",
